"","Species","X.2","X.1","X","GrowthForm_CTD","LHS_CTD","Abund_CTD","IUCNstatus","MeanPCcover","Range","ReefArea_Range","major_clade","family_molecules","family_morphology","larval","sexual","nominal.species","Lower_bound","Mean","Upper_bound","IUCN_conservation_status","Abundance_GBR","Abundance_world","Coloniality","Depth_lower","Depth_upper","Eastern-most_range_edge","Genus_fossil_age","Growth_form_typical","IUCN_Red_List_category","Life_history_strategy","Mode_of_larval_development","Northern-most_range_edge","Ocean_basin","Oocyte_size_at_maturity","Range_size","Sexual_system","Southern-most_range_edge","Species_age_phylogeny","Substrate_attachment","Water_clarity_preference","Wave_exposure_preference","Western-most_range_edge","Zooxanthellate","Polyp_fecundity","Colony_maximum_diameter","Corallite_width_maximum","Corallite_width_minimum","Growth_form_Wallace","Growth_outline_type","Growth_rate","Nitrogen_concentration","Phosphorus_concentration","Sample_identifier","Calcification_rate","Skeletal_density","Skeletal_micro-density","Symbiodinium_density","Tissue_thickness","Propagule_size_on_release","Symbiodinium_sp._in_propagules","Colony_area","Colony_shape_factor","Distance_from_crest","Polyps_per_area","Ratio_of_female_to_male_gonads","Size_at_maturity","Colony_bleached","Mitotic_index","RNA:DNA_ratio","Chlorophyll_a","Lipid_content","Total_biomass","Protein_biomass","Age_at_maturity","Eggs_per_area","Generation_time","Mesentery_fecundity","Number_of_septa_per_corallite","Dark_respiration","Gross_photosynthesis","Larval_swimming_speed","Dissolved_oxygen_concentration","Distance_from_shore","Downward_flux_of_suspended_particulate_matter","Light_extinction_coefficient","Nitrite-nitrate_concentration","Particulate_organic_matter_concentration","Phosphate_concentration","Salinity","Suspended_particulate_matter_concentration","Individual_identifier","Propagule_age","Rainfall","Sunlight","Colony_surface_area","pre_fecundity"
"215","Montipora turgescens",239,240,240,"massive",NA,"common","LC",0.169,74532330,237810,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,10.0677673061626,11.355268911921,12.6381694657645,"Least Concern","uncommon","uncommon","colonial","40","3","-175.76696669","32.58","laminar","LC",NA,"spawner","26.18939603","pacific",NA,"33368592.305","hermaphrodite","-26.66209514","0.214782587837404","attached","clear","protected","31.0508267","zooxanthellate",NA,NA,"8.8","1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"49073333.3333333",NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Montipora undata",240,241,241,"laminar",NA,"uncommon","NT",0.084,51967376,207589,"Complex","Acroporidae","Acroporidae",NA,NA,NA,5.11666503806718,5.84842814485221,6.5694003169404,"Near Threatened","uncommon","common","colonial","40","4","154.13770832","32.58","laminar","LC",NA,NA,"19.58050175","pacific",NA,"10813954.188",NA,"-12.23640492","0.25108873396682","attached","clear","protected","95.1780282","zooxanthellate",NA,NA,"4.8","2.3",NA,NA,"2.43239285714286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Montipora venosa",241,242,242,"massive","stress-tolerant","uncommon","NT",0.15,68259852,241900,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,5.48801715866346,6.22355786246738,6.9655402838025,"Near Threatened","common","uncommon","colonial","30","22.5","-176.2630421","48.6","massive","NT","stress-tolerant","spawner","29.27173809","pacific",NA,"40092431.195","hermaphrodite","-32.445315","0.71283899733958","attached","clear","exposed","40.4884294","zooxanthellate",NA,NA,"4.6","2.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Montipora verrucosa",242,243,243,"laminar","generalist","uncommon","LC",0.096,82204377,244963,"Complex","Acroporidae","Acroporidae","spawner","hermaphrodite",NA,7.10369974633474,8.0414082138373,8.95523410570616,"Least Concern","common","uncommon","colonial","20","3","-166.843070834","48.6","massive","NT","stress-tolerant","spawner","36.84425809","pacific",NA,"58792407.795","hermaphrodite","-34.00854299","0.311502346047305","attached","clear","broad","23.8410664","zooxanthellate",NA,NA,"3.1","1.9",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.21394736842105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Montipora vietnamensis",244,245,245,"digitate",NA,"uncommon","VU",0.256,7393691,76237,"Complex","Acroporidae","Acroporidae",NA,NA,NA,13.9645710669021,15.7367283047537,17.5282776963112,"Vulnerable",NA,"common","colonial","56","2","176.35906038","48.6","laminar","LC",NA,NA,"28.65978411","pacific",NA,"25292588.33",NA,"-34.19797874","1.34230822663883","attached","clear","protected","95.0824162","zooxanthellate",NA,NA,"1.4","4.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Mycedium elephantotus",245,246,246,"laminar","generalist","common","LC",0.121,62663363,235384,"Robust","Merulinidae","Pectiniidae","spawner","hermaphrodite",NA,0.920310312650595,1.04439349785,1.1686704862522,"Least Concern","common","common","colonial","20","2","-167.20037883","48.6","laminar","LC","stress-tolerant","spawner","37.65991198","pacific","500","59487029.75","hermaphrodite","-33.05073693","1.53614397169501","attached","clear","protected","31.486416","zooxanthellate",NA,"150","3.4","5.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Mycedium mancaoi",246,247,247,"laminar",NA,"uncommon","LC",0.11,36185909,168305,"Robust","Merulinidae","Pectiniidae",NA,NA,NA,0.313789501520389,0.358813713773016,0.403397855138936,"Least Concern","common","common","colonial",NA,NA,"-176.13196212","48.6","laminar","VU",NA,NA,"31.00815214","pacific",NA,"46648887.745",NA,"-27.86238998","1.52451800875673","attached","turbid","broad","31.7723633","zooxanthellate",NA,NA,"3.5","27.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Mycedium robokaki",247,248,248,"laminar",NA,"common","LC",0.197,6137336,85149,"Robust","Merulinidae","Pectiniidae",NA,"hermaphrodite",NA,0.613447668989864,0.690137484107883,0.766031616404128,"Least Concern",NA,"common","colonial",NA,NA,"-140.32576938","48.6","laminar","LC",NA,NA,"36.65327262","pacific",NA,"62953882.56","hermaphrodite","-34.47524539","1.55998832108154","attached","clear","broad","25.1595079","zooxanthellate",NA,NA,"3","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Oulophyllia bennettae",248,249,249,"massive",NA,"uncommon","NT",0.1,42050228,194291,"Robust","Merulinidae","Faviidae","spawner",NA,NA,1.51176249086045,1.72832790852326,1.94295986448893,"Near Threatened","common","uncommon","colonial","12.3333333333333","32.3333333333333","-138.12290399","48.6","submassive","VU",NA,"spawner","30.52885689","pacific",NA,"46018272.24",NA,"-27.31145074","0.846063037064358","attached","clear","broad","31.725245","zooxanthellate",NA,NA,"4.1","5.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Oulophyllia crispa",249,250,250,"massive","stress-tolerant","uncommon","NT",0.102,61271890,226214,"Robust","Merulinidae","Faviidae","spawner","hermaphrodite",NA,0.489576052268605,0.555605470027692,0.621280528121404,"Near Threatened","uncommon","common","colonial","22.5","1.33333333333333","-139.77738625","48.6","digitate","VU","generalist","spawner","37.16939792","pacific",NA,"63144649.51","hermaphrodite","-31.37849359","2.03455608053693","attached","turbid","protected","31.8558798","zooxanthellate",NA,"30","3.3","8.1",NA,NA,"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Oxypora glabra",250,251,251,"laminar",NA,"common","LC",0.114,23608698,156508,"Robust","Lobophyllidae","Pectiniidae","spawner","hermaphrodite",NA,1.85895764703767,2.09984393812373,2.34242326957812,"Least Concern","uncommon","common","colonial","44","2","-76.30883476","48.6","columnar","LC",NA,"spawner","30.8232096","pacific",NA,"70339476.655","hermaphrodite","-34.3759158","3.32716411049437","attached","clear","exposed","25.102309","zooxanthellate",NA,NA,"9.3","4.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Oxypora lacera",251,252,252,"laminar",NA,"common","LC",0.117,62933870,232046,"Robust","Lobophyllidae","Pectiniidae","spawner","hermaphrodite",NA,1.42899573516206,1.61950874259865,1.81008607692059,"Least Concern","common","common","colonial","55","6","-139.77738625","2.715","digitate","VU",NA,"spawner","37.26617142","pacific",NA,"64093455.395","hermaphrodite","-31.60429841","0.741649808787096","attached","both","broad","31.5143007","zooxanthellate",NA,NA,"9.3","1.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Pachyseris rugosa",252,253,253,"laminar","generalist","common","VU",0.218,48344950,219702,"Complex","Pachyseridae","Agariciidae","spawner","gonochore",NA,1.6611867903233,1.88462644721956,2.10790704977928,"Vulnerable","uncommon","common","colonial","50","6","-92.23178406","2.715","laminar","LC","stress-tolerant","spawner","36.93640114","pacific","312.5","71912840.41","hermaphrodite","-32.42221211","0.774165369871112","attached","both","broad","31.7085793","zooxanthellate",NA,"150","30","3.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Pachyseris speciosa",253,254,254,"laminar","generalist","common","LC",0.279,65161047,233426,"Complex","Pachyseridae","Agariciidae","spawner","gonochore",NA,2.55544106826764,2.89795782027533,3.24257488840242,"Least Concern","uncommon","common","colonial","11","4.5","-75.92914581","38.38","columnar","LC","stress-tolerant","spawner","36.20357883","pacific","241","85758891.52","gonochore","-32.41256171","0.73938076831815","attached","clear","exposed","32.2192637","zooxanthellate",NA,"50","35","2.8",NA,NA,NA,"0.85902918","0.170712371","188.5",NA,NA,NA,NA,NA,"596","yes",NA,NA,NA,NA,NA,NA,NA,NA,"6.092138908",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Pavona bipartita",256,257,257,"submassive",NA,"uncommon","VU",0.513,52285020,175125,"Complex","Agariciidae","Agariciidae",NA,NA,NA,1.25702091847997,1.42609451145383,1.59732266745851,"Vulnerable","common","uncommon","colonial","17.5","1","-166.685654669","38.38","submassive","NT",NA,NA,"28.39802031","pacific",NA,"31422254.5",NA,"-24.57863151","0.80027413746221","attached","clear","broad","80.7880856","zooxanthellate",NA,"1500","10","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Pavona cactus",257,258,258,"digitate",NA,"common","VU",0.027,65458589,239950,"Complex","Agariciidae","Agariciidae","spawner","gonochore",NA,0.307892130358474,0.350628185569772,0.39356301182218,"Vulnerable","rare","common","colonial","22.5","0","-75.92220916","38.38","encrusting","LC",NA,"spawner","36.7647214","pacific",NA,"85939689.7","gonochore","-31.90717291","4.08137679157101","attached","both","broad","31.7085793","zooxanthellate",NA,"450","9.1","2.9",NA,NA,"32.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Pavona clavus",258,259,259,"columnar","stress-tolerant","common","LC",0.072,78989135,236612,"Complex","Agariciidae","Agariciidae","spawner","gonochore",NA,0.373069060193041,0.42518203609771,0.476636507369405,"Least Concern","uncommon","common","colonial","30","2","-177.22038563","38.38","encrusting","VU","generalist","spawner","31.7239697","pacific",NA,"53701657.33","hermaphrodite","-32.18062786","0.759083366685996","attached","clear","broad","33.2657341","zooxanthellate",NA,"75","7.2","0.8",NA,NA,"26",NA,NA,NA,"0.14","1.194",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Pavona decussata",259,260,260,"digitate","generalist","common","VU",0.149,67614947,240383,"Complex","Agariciidae","Agariciidae",NA,NA,NA,45.3004482740587,53.1505968421089,61.2396456110857,"Vulnerable","common","common","colonial","30","0","-176.05735949","38.38","encrusting","VU","competitive",NA,"37.95030478","pacific","388.5","44498126.925",NA,"-29.42082683","1.17610537410946","attached","turbid","protected","32.93838","zooxanthellate",NA,"333.333333333333","3.3","0.8",NA,NA,NA,"0.993844967285714","0.142411282666667","125.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.87747093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Pavona explanulata",260,261,261,"laminar",NA,"common","LC",0.09,77184805,242197,"Complex","Agariciidae","Agariciidae",NA,NA,NA,1.8271943331429,2.08062910964238,2.33099791328302,"Least Concern","uncommon","common","colonial","30","1","-176.3712294","38.38","laminar","NT",NA,NA,"36.88025853","pacific",NA,"40182144.345",NA,"-34.29567105","1.31570046706648","attached","turbid","protected","68.9642082","zooxanthellate",NA,NA,"6.7","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Pavona maldivensis",261,262,262,"columnar",NA,"common","LC",0.135,105646230,240836,"Complex","Agariciidae","Agariciidae",NA,NA,NA,3.7838273418923,4.26678747533527,4.75304422964059,"Least Concern","common","common","colonial","30","2.5","-133.86113428","0.01","massive","LC",NA,NA,"38.68167919","pacific",NA,"67556059.435",NA,"-34.73665327","2.23721737832513","attached","clear","broad","25.4764439","zooxanthellate",NA,"300","4.7","0.3",NA,NA,"9.41166666666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Pavona minuta",262,263,263,"submassive",NA,"uncommon","NT",0.04,31923647,167836,"Complex","Agariciidae","Agariciidae",NA,NA,NA,2.34524455477775,2.68815066331269,3.03070632651207,"Near Threatened","common","uncommon","colonial","30",NA,"-168.121373503","45.08","massive","NT",NA,NA,"34.07355837","pacific",NA,"58219641.925",NA,"-33.70229694","0.364307469980331","attached","clear","broad","30.3306974","zooxanthellate",NA,"500","30","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Pavona varians",263,264,264,"encrusting","stress-tolerant","common","LC",0.246,99989137,246201,"Complex","Agariciidae","Agariciidae","spawner","gonochore",NA,76.4734274817572,86.6007911323184,96.7365558089337,"Least Concern","uncommon","common","colonial","20","5","-136.46728188","44.42","massive","LC","generalist","spawner","37.90216287","pacific",NA,"51938109.73","hermaphrodite","-33.50676113","1.22125197526925","attached","clear","broad","35.1347058","zooxanthellate",NA,NA,"4.6","1.9",NA,NA,"12.05",NA,NA,NA,NA,"1.52",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Pavona venosa",264,265,265,"encrusting",NA,"common","VU",0.189,57389915,228288,"Complex","Agariciidae","Agariciidae",NA,NA,NA,16.4137221595827,18.663667810157,20.900738234992,"Vulnerable","common","uncommon","colonial","30","2","-176.45974264","44.42","massive","NT",NA,NA,"30.16230434","pacific",NA,"42360503.045",NA,"-31.68467939","0.167812649403454","attached","clear","broad","29.352291","zooxanthellate",NA,NA,"1","2.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Pectinia lactuca",265,266,266,"encrusting",NA,"common","VU",0.106,49404257,206510,"Robust","Merulinidae","Pectiniidae","spawner","hermaphrodite",NA,3.78499814293141,4.31269214653007,4.84226877573272,"Vulnerable","common","uncommon","colonial","30","1","-135.44316663","44.42","massive","LC",NA,"brooder","37.24893789","pacific",NA,"66475412.205","hermaphrodite","-33.40265116","4.0828691449037","attached","clear","broad","29.7817839","zooxanthellate",NA,"600","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Pectinia paeonia",266,267,267,"laminar",NA,"common","NT",0.054,40555608,197098,"Robust","Merulinidae","Pectiniidae","spawner","hermaphrodite",NA,0.874297449275182,0.994904208197686,1.11635420600871,"Near Threatened","uncommon","uncommon","colonial","25.2857142857143","1","154.7642302","44.42","massive","NT",NA,"spawner","36.38995201","pacific","441","19895534.31","hermaphrodite","-30.8256935","1.65997682588349","attached","clear","exposed","80.4619511","zooxanthellate",NA,"100","0.7","1.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"371","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Platygyra daedalea",268,269,269,"massive","stress-tolerant","common","LC",0.115,68843454,242827,"Robust","Merulinidae","Faviidae","spawner","hermaphrodite",NA,4.58411033057768,5.24353358854946,5.8954961805323,"Least Concern","common","common","colonial","20","2","-136.41187256","44.42","massive","NT","stress-tolerant","spawner","31.02818888","pacific","411.5","60925952.805","hermaphrodite","-33.37490201","0.336292354606763","attached","clear","protected","31.6932036","zooxanthellate",NA,NA,"0.7","1.1",NA,NA,"8.36666666666667",NA,NA,NA,NA,NA,NA,NA,NA,"500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Platygyra lamellina",269,270,270,"massive","stress-tolerant","uncommon","NT",0.127,58952051,230779,"Robust","Merulinidae","Faviidae","spawner","hermaphrodite",NA,4.71612527477984,5.3836542825768,6.04928288945598,"Near Threatened","uncommon","uncommon","colonial","27","3","-105.44113462","10.5275","massive","LC","generalist","spawner","38.68167919","pacific","116","74491653.46","hermaphrodite","-40.54983502","8.07721459723286","attached","clear","protected","23.9693227","zooxanthellate",NA,NA,"1.1","0.9",NA,NA,"4.44285714285714",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Platygyra pini",270,271,271,"massive",NA,"common","LC",0.094,52161363,213366,"Robust","Merulinidae","Faviidae","spawner","hermaphrodite",NA,4.4854684052586,5.11376522663938,5.75525372256946,"Least Concern","common","common","colonial","37.25","5","-76.08342991","10.5275","branching_closed","LC",NA,"spawner","35.94968826","pacific","136","88880159.175","hermaphrodite","-35.55510674","1.84728458140922","attached","both","broad","31.8660454","zooxanthellate",NA,NA,"3","1.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Platygyra ryukyuensis",271,272,272,"massive",NA,"uncommon","NT",0.055,45397744,191154,"Robust","Merulinidae","Faviidae","spawner","hermaphrodite",NA,0.279972909863363,0.317519819945685,0.356419830182916,"Near Threatened","common","common","colonial","26","1","-75.7659806","57.04","branching_open","NT",NA,"spawner","36.53295376","pacific",NA,"82563698.795","hermaphrodite","-35.57253527","2.7177794822173","attached","clear","exposed","22.5563325","zooxanthellate",NA,NA,"2.8","1.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Platygyra sinensis",272,273,273,"massive","stress-tolerant","uncommon","LC",0.096,70520299,242218,"Robust","Merulinidae","Faviidae","spawner","hermaphrodite",NA,2.46712189551696,2.81436286704948,3.16220392491455,"Least Concern","common","common","colonial","35","0.5","-75.25487909","57.04","branching_closed","LC","stress-tolerant","spawner","29.7251985","pacific","279","64143723.07","hermaphrodite","-28.87338731","5.84100152855223","attached","clear","broad","70.4115548","zooxanthellate",NA,NA,"1.1","0.7",NA,NA,"20.483",NA,NA,NA,NA,NA,NA,NA,NA,"1459",NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.5","380","37","4.4","23.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Platygyra verweyi",273,274,274,"massive",NA,"uncommon","NT",0.03,16777756,145465,"Robust","Merulinidae","Faviidae",NA,NA,NA,1.81249332583716,2.04442958044519,2.28049920902233,"Near Threatened","uncommon","common","colonial","20","2","-75.90850408","57.04","branching_closed","LC",NA,NA,"36.28949391","pacific",NA,"87127475.1",NA,"-34.80308467","1.84728458140922","attached","clear","broad","31.762114","zooxanthellate",NA,NA,"2.1","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Plerogyra sinuosa",274,275,275,"massive","stress-tolerant","common","NT",0.03,64559123,234211,"Robust","Plesiastreidae","Euphyllidae",NA,NA,NA,0.109010386975192,0.123283758659679,0.137767376758392,"Near Threatened","common","uncommon","colonial","30","5","-136.93890405","57.04","branching_open","LC","stress-tolerant",NA,"28.20648657","pacific",NA,"42554957.915",NA,"-29.47790465","2.27779990972433","attached","clear","exposed","80.6355872","zooxanthellate",NA,"103","1.7","1.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Plesiastrea versipora",275,276,276,"massive","stress-tolerant","uncommon","LC",0.051,82016455,243883,"Robust","Plesiastreidae","Faviidae","spawner","gonochore",NA,1.23418446770892,1.38994204111291,1.54717721782728,"Least Concern","common","common","colonial","30","1","-138.15720437","57.04","encrusting","LC","stress-tolerant","spawner","31.08541355","pacific",NA,"58248320.125","gonochore","-34.04066244","1.05469881950054","attached","clear","broad","24.8241124","zooxanthellate",NA,"80","1.4","0.7",NA,NA,"17.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Pocillopora damicornis",277,278,278,"branching_closed","weedy","common","LC",0.168,105600013,246233,"Robust","Pocilloporidae","Pocilloporidae",NA,"hermaphrodite",NA,57.9422103854495,65.8038910965336,73.5892556544916,"Least Concern","uncommon","uncommon","colonial","20","15","-175.06744894","57.04","encrusting","NT","weedy",NA,"29.2809127","pacific","545","40374133.445","gonochore","-28.46311437","6.48517021393165","attached","clear","broad","36.4713451","zooxanthellate",NA,"500","1.4","0.6",NA,NA,"1.27","1.0233104582","0.2305658625","20","0.204333333333333","1.99",NA,"1135200","2.8","360","no",NA,NA,NA,360,NA,NA,NA,"0.99","3.04911747333333","14","2.11",NA,"3.7",NA,NA,NA,NA,NA,"2.11666666666667","5.8","2.1947191011236",NA,NA,NA,NA,NA,"1.55825",NA,"32.900375",NA,"7.5","7.63636363636364","281.825","6.33",NA,NA
